,title,subtitle,location_x,currency,price,description,other_details,bed,bath,toilet,area,prop_type,location_y,match,pricerange
5625,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3 Bedroom Flat,-Soluyi Gbagada Lagos,naira,1200000,Decent 3 Bedroom Flat, FOR RENT: 3bed sholuyi bus stop gbagada 1.2m With wardrobes All round tiles Fenced and .. Read more ,3,0,0,Gbagada,Flat,#NAME?,Soluyi Gbagada,1.1M-2M
5632,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Lovely 3 Bedroom Apartment,Arowojobe Estate Maryland Lagos,naira,1500000,Very Lovely 3 Bedroom Apartment, FOR RENT: Newly built 3 bedroom flat all rooms ensuit with guess toilet wardrobes A.. Read more ,3,3,4,Maryland,Flat,Arowojobe Estate Maryland Lagos,Maryland,1.1M-2M
5633,3 BEDROOM FLAT / APARTMENT FOR RENT,Fantastic 3 Bedroom Flat At Maryland,-Maryland Lagos,naira,2000000,Fantastic 3 Bedroom Flat At Maryland, FOR RENT: 3bedroom flat for rent at maryland 2million per annum All round tiles With fi.. Read more ,3,0,0,-Maryland,Flat,#NAME?,Maryland,1.1M-2M
5643,3 BEDROOM FLAT / APARTMENT FOR RENT, 3 Bedroom Flat ,-Shomolu Lagos,naira,1100000, 3 Bedroom Flat , FOR RENT: Spacious 3bedroom flat All rooms ensuite With guest toilet All round tiles W.. Read more ,3,3,4,-Shomolu,Flat,#NAME?,Shomolu,1.1M-2M
5647,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Neat 3 Bedroom Off College Ogba ,Off College OgbaIfako Ogba Ogba Lagos,naira,900000,Very Neat 3 Bedroom Off College Ogba ," FOR RENT: 3bed for 900k available inside estate off college road,ogba All Round tiles Wi.. Read more ",3,0,0,Ogba,Flat,Off College OgbaIfako Ogba Ogba Lagos,Ifako Ogba,501k-1M
5658,3 BEDROOM FLAT / APARTMENT FOR RENT,Brand New 3bed room flat,AmuwoAmuwo Odofin Amuwo Odofin Lagos,naira,1400000,Brand New 3bed room flat," FOR RENT: Brand new 3bed room flat with classic finishing, all rooms ensuit, very sharp ho.. Read more ",3,4,4,Odofin,Flat,AmuwoAmuwo Odofin Amuwo Odofin Lagos,Amuwo Odofin,1.1M-2M
5660,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ,...Omole Phase 1 Ojodu Lagos,naira,1800000,3 bedroom flat , FOR RENT: 3 bedroom Flat / Apartment for rent Omole phase 1 Ojodu Lagos.. Read more ,3,3,4,Ojodu,Flat,...Omole Phase 1 Ojodu Lagos,Phase 1 Lekki,1.1M-2M
5662,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat 7m Rent service charge 2m inside banana Island ,Banana Island Ikoyi Lagos,naira,7000000,3 bedroom flat 7m Rent service charge 2m inside banana Island , FOR RENT: 3 bedroom Flat / Apartment for rent Banana Island Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
5663,3 BEDROOM FLAT / APARTMENT FOR RENT,3br & 4br tastefully finished and luxury service apartment on bourdillon road ikoyi Rent:#13m/15m respective S.c:#3m Diesel:#1m,Bourdillon Ikoyi Lagos,naira,13000000,3br & 4br tastefully finished and luxury service apartment on bourdillon road ikoyi Rent:#13m/15m respective S.c:#3m Diesel:#1m, FOR RENT: 3br & 4br tastefully finished and luxury service apartment on bourdillon road ik.. Read more ,3,3,4,Ikoyi,Flat,Bourdillon Ikoyi Lagos,Ikoyi,Above 5M
5666,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 bedroom serviced apartment with gym pool in parkview estate ikoyi 5M,Parkview estate Parkview Estate Ikoyi Lagos,naira,5000000,Luxury 3 bedroom serviced apartment with gym pool in parkview estate ikoyi 5M, FOR RENT: 3 bedroom Flat / Apartment for rent Parkview estate Parkview Estate Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,Parkview estate Parkview Estate Ikoyi Lagos,Parkview Ikoyi,2.1M-5M
5667,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built And Tastefully Finished Four Units Of Three Bedroom Flat,...Abule Egba Lagos,naira,600000,Newly Built And Tastefully Finished Four Units Of Three Bedroom Flat," FOR RENT: Newly Built and Tastefully Finished 4 units of 3 Bedroom flats Ekoro Road, Abule.. Read more ",3,0,0,Egba,Flat,...Abule Egba Lagos,Abule Egba,501k-1M
5668,3 BEDROOM FLAT / APARTMENT FOR RENT,Well furnished 3 bedroom apartment,...Omole Phase 1 Ojodu Lagos,naira,2200000,Well furnished 3 bedroom apartment, FOR RENT: 3 bedroom Flat / Apartment for rent Omole phase 1 Ojodu Lagos.. Read more ,3,3,4,Ojodu,Flat,...Omole Phase 1 Ojodu Lagos,Phase 1 Lekki,2.1M-5M
5672,3 BEDROOM FLAT / APARTMENT FOR RENT,A tastefully and well finished brand new 3 bedroom flat,...Ogudu Gra Ogudu Lagos,naira,2500000,A tastefully and well finished brand new 3 bedroom flat," FOR RENT: A tastefully and well finished brand new 3 bedroom flat all ensuite, water heate.. Read more ",3,3,4,Ogudu,Flat,...Ogudu Gra Ogudu Lagos,GRA Ogudu,2.1M-5M
5675,3 BEDROOM FLAT / APARTMENT FOR RENT,Tastefully Designed 3 Bedroom Apartment,Behind gbagada phase 1Phase 1 Gbagada Lagos,naira,1700000,Tastefully Designed 3 Bedroom Apartment, FOR RENT: *FRESH LETTING* EXECUTIVE NEWLY BUILT *3BEDROOM FLAT* BEHIND GBAGADA PHASE 1.. Read more ,3,3,4,Gbagada,Flat,Behind gbagada phase 1Phase 1 Gbagada Lagos,Phase 1 Lekki,1.1M-2M
5681,3 BEDROOM FLAT / APARTMENT FOR RENT,Executive Newly Renovated 3 Bedroom Flat ,-Ogba Lagos,naira,1000000,Executive Newly Renovated 3 Bedroom Flat ," FOR RENT: JUST OUT NOW!!! Executive and newly renovated 3 bedroom flat at Aguda Ogba, #1m/.. Read more ",3,3,3,-Ogba,Flat,#NAME?,Ogba,501k-1M
5683,3 BEDROOM FLAT / APARTMENT FOR RENT,Standard 3 Bedroom Flat in a Very Large Compound ,"Onike, Yaba.Onike Yaba Lagos",naira,1000000,Standard 3 Bedroom Flat in a Very Large Compound , FOR RENT: 3 Bedroom Flat with storage space in a very large Compound with Only 4 Flats in .. Read more ,3,2,2,Yaba,Flat,"Onike, Yaba.Onike Yaba Lagos",Onike Yaba,501k-1M
5684,3 BEDROOM FLAT / APARTMENT FOR RENT,"3br tastefully finished and luxury service flat with fitted kitchen, gym and a maid room at Parkview estate ikoyi Rent:#5m Sc:#2.5m",Parkview Estate Ikoyi Lagos,naira,5000000,"3br tastefully finished and luxury service flat with fitted kitchen, gym and a maid room at Parkview estate ikoyi Rent:#5m Sc:#2.5m"," FOR RENT: 3br tastefully finished and luxury service flat with fitted kitchen, gym and a m.. Read more ",3,3,4,Ikoyi,Flat,Parkview Estate Ikoyi Lagos,Parkview Ikoyi,2.1M-5M
5690,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom apartment flat for rent in banana island serviced charge 2.5M ,Banana Island Banana Island Ikoyi Lagos,naira,7000000,3 bedroom apartment flat for rent in banana island serviced charge 2.5M , FOR RENT: 3 bedroom Flat / Apartment for rent Banana Island Banana Island Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,Banana Island Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
5694,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 Bedroom all rooms ensuite flat (Upstairs),"Off Pedro Road, Shomolu, Lagos. Palmgroove Shomolu Lagos",naira,1200000,Lovely 3 Bedroom all rooms ensuite flat (Upstairs), FOR RENT: Lovely 3 Bedroom all rooms ensuite with 30 Liter Water Heater in all the bathroo.. Read more ,3,3,4,Shomolu,Flat,"Off Pedro Road, Shomolu, Lagos. Palmgroove Shomolu Lagos",Palmgroove Shomolu,1.1M-2M
5695,3 BEDROOM FLAT / APARTMENT FOR RENT,Nicely Structured 3 Units Of 3 Bedroom Apartment Available For Rent At Ogba ,Ogba Lagos,naira,1000000,Nicely Structured 3 Units Of 3 Bedroom Apartment Available For Rent At Ogba ," FOR RENT: Executive 3 nos of 3bed, with pop ceiling all rooms ensuite Rent N900k down.. Read more ",3,,,Ogba,Flat,Ogba Lagos,Ogba,501k-1M
5699,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built Well Finished Three Bedroom Flat At Ikotun,-Ikotun Ikotun Igando Lagos,naira,380000,Newly Built Well Finished Three Bedroom Flat At Ikotun, FOR RENT: To let. Newly built and well finished 3 bedroom flat at ikotun for rent With p.. Read more ,3,0,0,Igando,Flat,#NAME?,Igando,Less than 500k
5700,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flats,off ishaga roadLawanson Surulere Lagos,naira,1500000,3 bedroom flats, FOR RENT: all room en suites a blocks 4 flats of 3bedroom flats on adeniji close surulere.. Read more ,3,3,3,Surulere,Flat,off ishaga roadLawanson Surulere Lagos,Surulere,1.1M-2M
5707,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedrooms flat,Off lawasonLawanson Surulere Lagos,naira,900000,3 bedrooms flat, FOR RENT: Newly built 3 bedroom flat [email protected] all rooms en suite 2yrs.. Read more ,3,3,3,Surulere,Flat,Off lawasonLawanson Surulere Lagos,Surulere,501k-1M
5708,3 BEDROOM FLAT / APARTMENT FOR RENT,3Bedroom flat 4T/3B ,-Allen Avenue Ikeja Lagos,naira,1700000,3Bedroom flat 4T/3B ," FOR RENT: Urgent Letting 3Bedroom flat 4T/3B at off Allen Avenue, Ikeja Rent - N.. Read more ",3,3,4,Ikeja,Flat,#NAME?,Allen Ikeja,1.1M-2M
5713,3 BEDROOM FLAT / APARTMENT FOR RENT, 3 Bedroom Flat ,-Ogudu Gra Ogudu Lagos,naira,1000000, 3 Bedroom Flat , FOR RENT: 3 bedroom flat Ogudu GRA rent 1m Floored Compound Fenced and Gated PLEASE N.. Read more ,3,0,0,Ogudu,Flat,#NAME?,GRA Ogudu,501k-1M
5714,3 BEDROOM FLAT / APARTMENT FOR RENT,3bed available tolet going for 1.5m In good area of oregun are the back of total at oregun ikeja,Oregun Ikeja Lagos,naira,1500000,3bed available tolet going for 1.5m In good area of oregun are the back of total at oregun ikeja, FOR RENT: 3bed available tolet going for 1.5m In good area of oregun are the back of.. Read more ,3,3,3,Ikeja,Flat,Oregun Ikeja Lagos,Oregun Ikeja,1.1M-2M
5722,3 BEDROOM FLAT / APARTMENT FOR RENT,Tasteful and luxury serviced 3 bedroom flat is available for rent with serviced charge of 3M,Banana IslandBanana Island Ikoyi Lagos,naira,10000000,Tasteful and luxury serviced 3 bedroom flat is available for rent with serviced charge of 3M, FOR RENT: Ample parking space Swimming pool All rooms ensuite fully fitted kitchen with.. Read more ,3,3,4,Ikoyi,Flat,Banana IslandBanana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
5730,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Flat Apartment,"Alapere, ketuKetu Lagos",naira,800000,Spacious 3 Bedroom Flat Apartment," FOR RENT: 3 bedroom flat at Ifodo, Alapere for 800k with ample car park, wardrobes and kit.. Read more ",3,0,0,ketuKetu,Flat,"Alapere, ketuKetu Lagos",Ketu Alapere,501k-1M
5732,3 BEDROOM FLAT / APARTMENT FOR RENT,A Block of 4 flat 3 bedroom flat,Off adelabuAdelabu Surulere Lagos,naira,1200000,A Block of 4 flat 3 bedroom flat, FOR RENT: 3 bedroom Flat / Apartment for rent Off adelabu Adelabu Surulere Lagos.. Read more ,3,3,2,Surulere,Flat,Off adelabuAdelabu Surulere Lagos,Surulere,1.1M-2M
5737,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3 Bedroom Apartment,Ijaiye Abule Egba Lagos,naira,400000,Decent 3 Bedroom Apartment, FOR RENT: To. Let 3bed room flat for rent new house at adeneken 4 toilet. N400k per .. Read more ,3,3,4,Egba,Flat,Ijaiye Abule Egba Lagos,Ijaiye,Less than 500k
5742,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3 Bedroom Flat ,"Alapere, ketuKetu Lagos",naira,650000,Decent 3 Bedroom Flat , FOR RENT: Decent 3bedroom with 4 toilet and bathroom at Alapere All round tiles With f.. Read more ,3,3,4,ketuKetu,Flat,"Alapere, ketuKetu Lagos",Ketu Alapere,501k-1M
5744,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 3 Bedroom all rooms ensuite flat ,Gbagada Lagos.Gbagada Lagos,naira,1400000,Newly Built 3 Bedroom all rooms ensuite flat ," FOR RENT: Newly built 3 bedroom all rooms en-suite flat for rent. Location: Gbagada, La.. Read more ",3,3,4,Lagos.Gbagada,Flat,Gbagada Lagos.Gbagada Lagos,Gbagada,1.1M-2M
5746,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Clean 3 Bedroom Apartment For Rent At Alagomeji Yaba ,Alagomeji Yaba Lagos,naira,1500000,Very Clean 3 Bedroom Apartment For Rent At Alagomeji Yaba ," FOR RENT: JUST OUT!!! *Clean *3bedroom flat all room ensuite with visitor toilet, ups.. Read more ",3,3,4,Yaba,Flat,Alagomeji Yaba Lagos,Alagomeji Yaba,1.1M-2M
5750,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built & Spacious 3 Bedroom all rooms ensuite flat (Upstairs),"Yaba, Lagos. Yaba Lagos",naira,1600000,Newly Built & Spacious 3 Bedroom all rooms ensuite flat (Upstairs), FOR RENT: Newly Built Spacious 3 Bedroom all rooms ensuite flat & visitor's toilet. Onl.. Read more ,3,3,4,Yaba,Flat,"Yaba, Lagos. Yaba Lagos",Yaba,1.1M-2M
5754,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Flat (Upstairs),"Akoka, Yaba.Akoka Yaba Lagos",naira,800000,Spacious 3 Bedroom Flat (Upstairs), FOR RENT: Spacious 3 Bedroom Flat with 3 toilets & 2 bathrooms ( inclusive of visitor's to.. Read more ,3,2,3,Yaba,Flat,"Akoka, Yaba.Akoka Yaba Lagos",Akoka Yaba,501k-1M
5756,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,-Millenuim Ups Gbagada Lagos,naira,1800000,3 Bedroom Flat, FOR RENT: A 3bdrooms flat on ground floor. Just two people in the compound at Mellenium Es.. Read more ,3,2,2,Gbagada,Flat,#NAME?,Gbagada,1.1M-2M
5768,3 BEDROOM FLAT / APARTMENT FOR RENT,"Tastefully finished and fully serviced 3bedroom flat with fitted kitchen, gas burner etc.",-Lekki Phase 1 Lekki Lagos,naira,3000000,"Tastefully finished and fully serviced 3bedroom flat with fitted kitchen, gas burner etc."," FOR RENT: Tastefully finished and fully serviced 3bedroom flat with fitted kitchen, gas bu.. Read more ",3,3,4,Lekki,Flat,-Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
5771,3 BEDROOM FLAT / APARTMENT FOR RENT,"Executive Three Bedroom Apartment For Rent At Abaranje, Ikotun",abaranje Ikotun LagosAbaranje Ikotun Igando Lagos,naira,300000,"Executive Three Bedroom Apartment For Rent At Abaranje, Ikotun", FOR RENT: Executive 3 bedroom flat for rent at better life abaranje 4 toilets all room e.. Read more ,3,3,4,Igando,Flat,abaranje Ikotun LagosAbaranje Ikotun Igando Lagos,Igando,Less than 500k
5772,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 Bedroom Flat ,-Ifako Ogba Ogba Lagos,naira,1100000,Lovely 3 Bedroom Flat ," FOR RENT: 3 Bedroom Flat at Harmony Estate, off College Road. N1.1m All round tiles Pop .. Read more ",3,0,0,Ogba,Flat,#NAME?,Ifako Ogba,1.1M-2M
5774,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Neat And Clean 3 Bedroom Flat At Sangotedo ,Lekki Phase 2 Lekki Lagos,naira,1000000,Very Neat And Clean 3 Bedroom Flat At Sangotedo , FOR RENT: Very neat and clean 3 bedroom apartment for rent at chevron with services charge.. Read more ,3,3,3,Lekki,Flat,Lekki Phase 2 Lekki Lagos,Lekki Phase 2,501k-1M
5787,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat,oni streetRandle Avenue Surulere Lagos,naira,1000000,3 bedroom flat," FOR RENT: 3 bedroom flat at randle venue surulere,a block of six flat.. Read more ",3,3,3,Surulere,Flat,oni streetRandle Avenue Surulere Lagos,Surulere,501k-1M
5788,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Flat ( Only 3 Tenants in Compound),"Yaba, Lagos Yaba Lagos",naira,1200000,Spacious 3 Bedroom Flat ( Only 3 Tenants in Compound), FOR RENT: Spacious 3 Bedroom Flat Upstairs. Only 3 tenants in the Compound. Rent: 1.2m.. Read more ,3,3,3,Yaba,Flat,"Yaba, Lagos Yaba Lagos",Yaba,1.1M-2M
5789,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom flat for RENT,OFF BROWN ROADAguda Surulere Lagos,naira,950000,3 Bedroom flat for RENT, FOR RENT: 3 BEDROOM FLAT FOR RENT @AGUDA BROWN ROAD... Read more ,3,3,3,Surulere,Flat,OFF BROWN ROADAguda Surulere Lagos,Surulere,501k-1M
5792,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3 Bedroom Apartment,Adetola rdAguda Surulere Lagos,naira,800000,Decent 3 Bedroom Apartment, FOR RENT: JUST OUT NOW Spacious 3bedroom N800K per year Ground floor with 2toile.. Read more ,3,2,2,Surulere,Flat,Adetola rdAguda Surulere Lagos,Surulere,501k-1M
5795,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Sweet 3 Bedroom Apartment,-Akoka Yaba Lagos,naira,1600000,Very Sweet 3 Bedroom Apartment, FOR RENT: Letting Clean 3 Bedroom Apartment For Rent At Akoka Rent N1. 6m per year Spa.. Read more ,3,0,0,Yaba,Flat,#NAME?,Akoka Yaba,1.1M-2M
5796,3 BEDROOM FLAT / APARTMENT FOR RENT,"very spacious, and newly renovated 3bedroom flat(3 toilets, 2baths, full POP, up flat, ample parking). ",-Millenuim Ups Gbagada Lagos,naira,2000000,"very spacious, and newly renovated 3bedroom flat(3 toilets, 2baths, full POP, up flat, ample parking). "," FOR RENT: *JUST OUT!!!* *TO LET IN MILLENNIUM ESTATE* A very spacious, and newly ren.. Read more ",3,3,2,Gbagada,Flat,#NAME?,Gbagada,1.1M-2M
5797,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom Flat At Ladilak Bariga,"Ladilak, Bariga ShomoluBariga Shomolu Lagos",naira,700000,Spacious 3 Bedroom Flat At Ladilak Bariga, FOR RENT: *LETTING* 3BEDROOM FLAT VERY SPACIOUS APARTMENT AT LADLAK UPSTAIRS WITH 3TOIL.. Read more ,3,3,3,Shomolu,Flat,"Ladilak, Bariga ShomoluBariga Shomolu Lagos",Bariga Shomolu,501k-1M
5802,3 BEDROOM FLAT / APARTMENT FOR RENT, 3 Bedroom Flat ,-Ajao Estate Isolo Lagos,naira,1500000, 3 Bedroom Flat ," FOR RENT: 3 Bedroom flat upstairs in AJAO ESTATE, Airport Road with only two tenant in com.. Read more ",3,0,0,Isolo,Flat,#NAME?,Ajao Estate Isolo,1.1M-2M
5811,3 BEDROOM FLAT / APARTMENT FOR RENT,Royal white spacious 3 bedroom apartment water front,-Banana Island Ikoyi Lagos,naira,22000000,Royal white spacious 3 bedroom apartment water front, FOR RENT: 3 bedroom Flat / Apartment for rent Banana Island Ikoyi Lagos.. Read more ,3,3,4,Ikoyi,Flat,#NAME?,Banana Island Ikoyi,Above 5M
5828,3 BEDROOM FLAT / APARTMENT FOR RENT,"Executive 3 Bedroom Flat For Rent At Oyadeiran Estate, Sabo, Yaba",Sabo Yaba Lagos,naira,800000,"Executive 3 Bedroom Flat For Rent At Oyadeiran Estate, Sabo, Yaba", FOR RENT: Just out for let now 3 bedroom flat at oyaderian estate sabo yaba for 800k ju.. Read more ,3,2,2,Yaba,Flat,Sabo Yaba Lagos,Sabo Yaba,501k-1M
5829,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 Bedroom Flat,"Off Commercial Avenue, Sabo, YabaSabo Yaba Lagos",naira,1500000,Lovely 3 Bedroom Flat," FOR RENT: Standard 3 Bedroom Flat in a Neat & Lovely Environment in Sabo, Yaba. Rent: 1.. Read more ",3,2,2,Yaba,Flat,"Off Commercial Avenue, Sabo, YabaSabo Yaba Lagos",Sabo Yaba,1.1M-2M
5834,3 BEDROOM FLAT / APARTMENT FOR RENT,2 bedroom,oniRandle Avenue Surulere Lagos,naira,800000,2 bedroom, FOR RENT: clean 2bedroom flat at randle .. Read more ,3,3,,Surulere,Flat,oniRandle Avenue Surulere Lagos,Surulere,501k-1M
5837,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 bedroom apartment in magodo Brooks for rent 2.8M,Magodo Gra Phase 2 Kosofe Ikosi Lagos,naira,2800000,Lovely 3 bedroom apartment in magodo Brooks for rent 2.8M, FOR RENT: 3 bedroom Flat / Apartment for rent Magodo GRA Phase 2 Kosofe/Ikosi Lagos.. Read more ,3,3,4,Ikosi,Flat,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Phase 2,2.1M-5M
5838,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat,...Maryland Lagos,naira,2000000,3 Bedroom Flat, FOR RENT: JUST OUT TO LET IN AROWOJOBE ESTATE 3bedrooms with all rooms ensuite pop fin.. Read more ,3,3,4,...Maryland,Flat,...Maryland Lagos,Maryland,1.1M-2M
5840,3 BEDROOM FLAT / APARTMENT FOR RENT,Standard 3 Bedroom Apartment For Rent At Ogudu ,Alhaja ELESHIN Ogudu Lagos,naira,1000000,Standard 3 Bedroom Apartment For Rent At Ogudu ," FOR RENT: *LETTING* *3 BEDROOM FLAT For Rent *UPSTAIRS* WITH *P O P,* 3 TOIL.. Read more ",3,3,,Ogudu,Flat,Alhaja ELESHIN Ogudu Lagos,Ogudu,501k-1M
5842,3 BEDROOM FLAT / APARTMENT FOR RENT,WATER-FRONT 3 BEDROOM APARTMENT + BQ for RENT,WaterFront Banana Island Ikoyi Lagos,naira,9000000,WATER-FRONT 3 BEDROOM APARTMENT + BQ for RENT, FOR RENT: Sale- N145m Rent- N9m Service charge-N2.7m - Features- • All rooms ensuite .. Read more ,3,3,4,Ikoyi,Flat,WaterFront Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
5846,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Neat 3 Bedroom Apartment,-Alapere Kosofe Ikosi Lagos,naira,650000,Very Neat 3 Bedroom Apartment, FOR RENT: Letting 3 bedroom flat for rent at Alapere Rent #650k per year.. Read more ,3,0,0,Ikosi,Flat,#NAME?,Ketu Alapere,501k-1M
5850,3 BEDROOM FLAT / APARTMENT FOR RENT, Decent And Spacious 3 Bedroom Flat ,..Ifako Ogba Ogba Lagos,naira,1200000, Decent And Spacious 3 Bedroom Flat ," FOR RENT: To let Spacious and decent 3 bedroom flat with 4 toilet and bathroom, dining .. Read more ",3,4,4,Ogba,Flat,..Ifako Ogba Ogba Lagos,Ifako Ogba,1.1M-2M
5853,3 BEDROOM FLAT / APARTMENT FOR RENT,Very Decent 3 Bedroom Apartment For Rent In An Estate In Gbagada ,In an estate Gbagada Lagos,naira,1000000,Very Decent 3 Bedroom Apartment For Rent In An Estate In Gbagada , FOR RENT: Spacious and all ensuite 3 bedroom flat with guest toilet inside a secured estat.. Read more ,3,3,4,Gbagada,Flat,In an estate Gbagada Lagos,Gbagada,501k-1M
5856,3 BEDROOM FLAT / APARTMENT FOR RENT,"3 bedroom service and partially furnished luxury flat with bq, air conditioning",-Ikeja Gra Ikeja Lagos,naira,7500000,"3 bedroom service and partially furnished luxury flat with bq, air conditioning", FOR RENT: DIRECT BRIEF: 20 units 3 bedroom service and partially furnished luxury flat wi.. Read more ,3,3,4,Ikeja,Flat,#NAME?,GRA Ikeja,Above 5M
5859,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom flat for sale,mercy elenyMasha Surulere Lagos,naira,1500000,3 Bedroom flat for sale, FOR RENT: 3bedroom for rent @mercy eleny off masha road.. Read more ,3,3,3,Surulere,Flat,mercy elenyMasha Surulere Lagos,Surulere,1.1M-2M
5866,3 BEDROOM FLAT / APARTMENT FOR RENT, 3 Bedroom flat ,"In a Serene & Gated Environment, Yaba.Yaba Lagos",naira,1500000, 3 Bedroom flat , FOR RENT: Lovely & Spacious 3 Bedroom all rooms ensuite flat with private staircase upstai.. Read more ,3,3,4,Yaba.Yaba,Flat,"In a Serene & Gated Environment, Yaba.Yaba Lagos",Yaba,1.1M-2M
5867,3 BEDROOM FLAT / APARTMENT FOR RENT, 3 Bedroom Flat ,-Ikeja Gra Ikeja Lagos,naira,6000000, 3 Bedroom Flat , FOR RENT: This is a Tastefully and Spacious Finished 3 Bedroom Flat all room ensuit with g.. Read more ,3,3,4,Ikeja,Flat,#NAME?,GRA Ikeja,Above 5M
5869,3 BEDROOM FLAT / APARTMENT FOR RENT,"Executive 3 Bedroom Flat For Rent At Akoka, Yaba",Akoka Yaba Lagos,naira,1000000,"Executive 3 Bedroom Flat For Rent At Akoka, Yaba", FOR RENT: 3bedroom flat in Akoka for rent with prepaid meter good proximity to island .. Read more ,3,,,Yaba,Flat,Akoka Yaba Lagos,Akoka Yaba,501k-1M
5876,3 BEDROOM FLAT / APARTMENT FOR RENT,"Newly Built Three Bedroom Flat For Rent At Airport Road Oshodi, Lagos",...Airport Road Oshodi Lagos,naira,1500000,"Newly Built Three Bedroom Flat For Rent At Airport Road Oshodi, Lagos"," FOR RENT: TO LET, TO LET New Block of 4 flat to let. Nice 3 bedroom flat All room ensu.. Read more ",3,3,3,Oshodi,Flat,...Airport Road Oshodi Lagos,Oshodi,1.1M-2M
5879,3 BEDROOM FLAT / APARTMENT FOR RENT,"FOR LEASE 2 & 3 bedroom Apartment LOCATION: BANANA ISLAND, IKOYI",Banana Island Ikoyi Lagos,naira,15000000,"FOR LEASE 2 & 3 bedroom Apartment LOCATION: BANANA ISLAND, IKOYI"," FOR RENT: FOR LEASE 2 & 3 bedroom Apartment LOCATION: BANANA ISLAND, IKOYI PRICE TA.. Read more ",3,3,4,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
5880,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom flat for rent,babs animashaunBode Thomas Surulere Lagos,naira,950000,3 Bedroom flat for rent," FOR RENT: 3 bedroon flats for rent off bode thomas ,very big compound.. Read more ",3,3,3,Surulere,Flat,babs animashaunBode Thomas Surulere Lagos,Surulere,501k-1M
5881,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 bedroom apartment in yaba in an estate 1.5M,Yaba Lagos,naira,1500000,Lovely 3 bedroom apartment in yaba in an estate 1.5M, FOR RENT: 3 bedroom Flat / Apartment for rent Yaba Lagos.. Read more ,3,3,4,Yaba,Flat,Yaba Lagos,Yaba,1.1M-2M
5887,3 BEDROOM FLAT / APARTMENT FOR RENT,DECENT 3 BEDROOMS FLAT,...Ifako Gbagada Gbagada Lagos,naira,1300000,DECENT 3 BEDROOMS FLAT," FOR RENT: *Fresh Letting* Decent 3 bedrooms up all rooms ensuite with guest toilet, wa.. Read more ",3,3,4,Gbagada,Flat,...Ifako Gbagada Gbagada Lagos,Ifako Gbagada,1.1M-2M
